"Source","Destination","SHA256","Status"
"C:\Threshold\website\contact.html","C:\Threshold\html-inventory\website\contact.html","47CF28181E8B0078E79D2F94DE0D9DA43781E91272BB9A3D130EAB0D6BB6ED9B","COPIED"
"C:\Threshold\website\dialogues.html","C:\Threshold\html-inventory\website\dialogues.html","99B42BF23E78E85ABBD2951D215375397065C7DF36A94FFB458ED32CC47BA84D","COPIED"
"C:\Threshold\website\discover.html","C:\Threshold\html-inventory\website\discover.html","25F11ECA1383A686B80F901F455211D13E3AF1EE98E15B2B96E4A72FF2CC56BA","COPIED"
"C:\Threshold\website\ethos.html","C:\Threshold\html-inventory\website\ethos.html","A83B945F15395C654982AE101A50AD51FF7DCA19D7207BB8945E15B359F3F655","COPIED"
"C:\Threshold\website\garden.html","C:\Threshold\html-inventory\website\garden.html","484D6D00D9B44D5D13B93B43B3A02491ECB667881F4A7385398E8F40A47522E7","COPIED"
"C:\Threshold\website\glyphs.html","C:\Threshold\html-inventory\website\glyphs.html","1CC817C6A5735DBE48143236B3DCC51B8E5C7836CEE9F656343F5B004D032D18","COPIED"
"C:\Threshold\website\housegarden.html","C:\Threshold\html-inventory\website\housegarden.html","89835A09895AC8F94EBAE010FEACD2AA4E4A2416558D98B977416D647FD62F1B","COPIED"
"C:\Threshold\website\hub.html","C:\Threshold\html-inventory\website\hub.html","4846BD068176A7A47E32CF5626CC9F7DEECC60314236E5A2A5D64B7A18D535CA","COPIED"
"C:\Threshold\website\index.html","C:\Threshold\html-inventory\website\index.html","C624F2A4AA4673C7E035176D30AEA6858CC79264F0BDC62D8D58D1B217699E88","COPIED"
"C:\Threshold\website\invitation.html","C:\Threshold\html-inventory\website\invitation.html","AF1AC4A0276056008A33F705D4F99114C0576C85140B206C2A8EAFF26BDD4B7F","COPIED"
"C:\Threshold\website\learningwheel.html","C:\Threshold\html-inventory\website\learningwheel.html","B42A7DD8CB5030C9745CB421BD5F1605FA9FCA9C4FCFF0C8E501BA9A10AAB2AB","COPIED"
"C:\Threshold\website\mythology.html","C:\Threshold\html-inventory\website\mythology.html","FAFB8BFAEC59B281D0849C94DBAE41651EF108E03393B534D96E1B7F7ACAF7AD","COPIED"
"C:\Threshold\website\spoke.html","C:\Threshold\html-inventory\website\spoke.html","EBB439DD21E829DCE3734753ADF3E2579620E4B8AAC41397B1963DAE47A9FADC","COPIED"
"C:\Threshold\website\deep-system\engine.html","C:\Threshold\html-inventory\website\deep-system\engine.html","6250617DB47F5B7C05E33F53BD79275BDE1527553C3F6ADDF5BF7DAEB6714A48","COPIED"
"C:\Threshold\website\environment\basin.html","C:\Threshold\html-inventory\website\environment\basin.html","5F5C9DE0ABAB4909AA130FF723D1B4E92A47E0FABBFA71AC14EC8B54D79A3346","COPIED"
"C:\Threshold\website\environment\herbroom.html","C:\Threshold\html-inventory\website\environment\herbroom.html","C87237BC57A1B495B5ED8E55D0D02EE0C1E019605EEF03BD638E20B6B7A65547","COPIED"
"C:\Threshold\website\environment\waterfall.html","C:\Threshold\html-inventory\website\environment\waterfall.html","6C9E168B4D6F549055C5938CE43C8EC6E6C3FD3D90A15A1E8B0BEC41886DCFEA","COPIED"
"C:\Threshold\threshold\publish\core\contact.html","C:\Threshold\html-inventory\threshold-publish-core\contact.html","1ED3A50EBCA2BC87A93F60AA604B1A4D8C7108BDA1972B6F4C1688F53110C09E","COPIED"
"C:\Threshold\threshold\publish\core\dialogues.html","C:\Threshold\html-inventory\threshold-publish-core\dialogues.html","ED54B6545CD4ED044583BEDFF795054209B34526D6D2087222D00E3D6607F097","COPIED"
"C:\Threshold\threshold\publish\core\discover.html","C:\Threshold\html-inventory\threshold-publish-core\discover.html","6C66CA410F6AE8BE7C1733EA90EB70DFBFB6326B2DFD8E73C9C8DE91D43CAB36","COPIED"
"C:\Threshold\threshold\publish\core\engine.html","C:\Threshold\html-inventory\threshold-publish-core\engine.html","13C55D4E4D31F3EDEF3191D7085493E23A036CA5A1FB3D9FE30CF56C428F7BC3","COPIED"
"C:\Threshold\threshold\publish\core\ethos.html","C:\Threshold\html-inventory\threshold-publish-core\ethos.html","9339AAF1E971F5D27E1EA079A16B8B3D8A45DE45CBA284675C493BE6C9EC3DAF","COPIED"
"C:\Threshold\threshold\publish\core\glyphs.html","C:\Threshold\html-inventory\threshold-publish-core\glyphs.html","C06BCD2858DE48AB7526C13A53FB296D3626E4A4BE7D5AFE39253033A3B1233C","COPIED"
"C:\Threshold\threshold\publish\core\housegarden.html","C:\Threshold\html-inventory\threshold-publish-core\housegarden.html","2E0494C20C7E0DF64DE47F5677B49745835158201C9CCB4E82A64870A6AB43C2","COPIED"
"C:\Threshold\threshold\publish\core\index.html","C:\Threshold\html-inventory\threshold-publish-core\index.html","59FB2C097E50A1D24BC37A156FBAEC067E0817F1A7F294C5A6C4A171587C86B6","COPIED"
"C:\Threshold\threshold\publish\core\invitation.html","C:\Threshold\html-inventory\threshold-publish-core\invitation.html","99DDCCA9C0604AC56608C7948E08E77802A650478D6A2343ACADC3CA04F4932A","COPIED"
"C:\Threshold\threshold\publish\core\learningwheel.html","C:\Threshold\html-inventory\threshold-publish-core\learningwheel.html","FD3F592A9A10C1D3614BCA5F6BF4A19508617BC82508B3F6876263BC4E0811C9","COPIED"
"C:\Threshold\threshold\publish\core\mythology.html","C:\Threshold\html-inventory\threshold-publish-core\mythology.html","B647313AD0134F5611E1A07279EA284A177E28F9ADC2F83B9BFE5B7077B9E2FB","COPIED"
"C:\Threshold\threshold\publish\branches\mythology\index.html","C:\Threshold\html-inventory\threshold-publish-branches-mythology\index.html","EB4221623868157716237CA5DB039BA403786BFA3F055E86EEA521EFE422CB71","COPIED"
"C:\Threshold-Frontend\website\architecture.html","C:\Threshold\html-inventory\frontend\website\architecture.html","5BD584C878ADAEF4A012CE47A3C85A5DE3F66C770A45BC290D0EF21609428FA5","COPIED"
"C:\Threshold-Frontend\website\chamber-palette-map.html","C:\Threshold\html-inventory\frontend\website\chamber-palette-map.html","CB8F46A591FA5B8F146CC2ADB882DAC5C7B1A6FA930E7395FAE41CCF043B1BBC","COPIED"
"C:\Threshold-Frontend\website\contact.html","C:\Threshold\html-inventory\frontend\website\contact.html","BDC4706BD210E5899DA649A72B23194C8CBA31EED5F97001E749581E97DF5D02","COPIED"
"C:\Threshold-Frontend\website\dialogues.html","C:\Threshold\html-inventory\frontend\website\dialogues.html","030201732298F9EC09692B27360C56B5F66D32E7C814AD23ECF45D9542934649","COPIED"
"C:\Threshold-Frontend\website\discover.html","C:\Threshold\html-inventory\frontend\website\discover.html","EC0B99CB9B8168DD9E58019A6CC2D9C153D2E2A0D2FA3468B3DF61BD5A94B556","COPIED"
"C:\Threshold-Frontend\website\engine.html","C:\Threshold\html-inventory\frontend\website\engine.html","82181A10627B95FFF6BAC2999D7DF0E30E859638B037306DA09DEDA4D122E900","COPIED"
"C:\Threshold-Frontend\website\ethos.html","C:\Threshold\html-inventory\frontend\website\ethos.html","C9DB3554D9EEB573C807860CC48EA428AA82DC6E443775A5A1C32F6299528FD7","COPIED"
"C:\Threshold-Frontend\website\garden.html","C:\Threshold\html-inventory\frontend\website\garden.html","7C953CA75A0E45DF2AE2F3B57CEFA73B8EA28DE1A84AF14B63DA479F79BF3656","COPIED"
